Type,Date,Authors,Title,Series,Research theme,Website sub-theme
PB,Feb 2011,"Galab, S and P Prudhvikar Reddy",Agriculture and Nutrition Linkages in Andhra Pradesh: An Analysis Based on Young Lives Data,"Brief submitted to: 2020 Conference, Leveraging Agriculture for Improving Nutrition, 10-12 February 2011, New Delhi, India",Dynamics,Nutrition
J,Jul 2011,"Helmers, Christian and Manasa Patnam",'The Formation and Evolution of Childhood Skill Acquisition: Evidence from India',Journal of Development Economics 95.2: 252-266,Dynamics; Learning/time-use/transitions,School and education
PB,Sep 2011,"Pells, Kirrily",Poverty and Gender Inequalities Evidence from Young Lives,Young Lives Policy Brief 13,Dynamics; cross-cutting,Gender
PP,Nov 2011,"Dornan, Paul","Growth, Wealth and Inequality: Evidence from Young Lives",Young Lives Policy Paper 5,Dynamics,Poverty cycles
WP,Nov 2011,"Galab, S. and Ingo Outes-Leon","Siblings, Schooling, Work and Drought",Young Lives Working Paper 73,Dynamics; Learning/time-use/transitions,School access; Shocks
WP,Jun 2005,"Jones, Nicola, Alemu Mekonnen and Bekele Tefera",Tackling Child Malnutrition in Ethiopia: Do the Sustainable Development Poverty Reduction Programme's Underlying Policy Assumptions Reflect Local Realities?,Young Lives Working Paper 19,Children's experiences,Health and nutrition
J,Aug 2005,"De Silva, Mary J., Kwame McKenzie, Trudy Harpham and Sharon R.A. Huttly",Social Capital and Mental Illness: A Systematic Review,Journal of Epidemiology and Community Health 59(8): 619-627,Children's experiences,Health and nutrition
J,Sep 2005,"Tuan, Tran, Van Thi Mai Dung, Ingo Neu and Michael J. Dibley",Comparative Quality of Private and Public Health Services in Rural Vietnam,Health Policy and Planning 20(5): 319-327,Children's experiences,Health and nutrition
SP,Oct 2005,"Moestue, Helen","Adult Education and Child Nutrition in India and Vietnam: The Role of Family, Neighbours and Friends","Young Lives Student Paper (PhD thesis, London School of Hygiene and Tropical Medicine)",Children's experiences,Health and nutrition
SP,Oct 2005,"Moestue, Helen","Adult Education and Child Nutrition in India and Vietnam: The Role of Family, Neighbours and Friends","PhD Thesis, Faculty of Medicine, University of London (Nutrition and Public Health Research Intervention Unit, Department of Epidemiology and Population Health, LSHTM)",Children's experiences,Health and nutrition
J,Nov 2005,"Nguyen Thanh Thuy, Pham Thi Lan and Tran Thu Ha",Childhood Poverty in Vietnam,"Nghien cuu Ly Luan (Academic Journal of the National Commission for Population, Families and Children 8 (special issue) 61-69",Children's experiences,Poverty cycles
WP,Nov 2005,"Cueto, Santiago, Mary De Silva, Sharon Huttly, Gabriela Guerrero, Claudio F. Lanata, Juan Leon, Mary E. Penny, and Eliana Villar",Social Capital and Education Outcomes in Urban and Rural Peru,Young Lives Working Paper 28,Children's experiences,School and education
WP,Nov 2005,"Alemu, Tekie, Getachew Asgedom, Nicola Jones, Alemu Mekonnen, John Seager, Bekele Tefera and Tassew Woldehanna","Child Nutritional Status in Poor Ethiopian Households: The Role of Gender, Assets and Location",Young Lives Working Paper 26,Children's experiences,Health and nutrition
WP,Dec 2005,"Abeyasekera, Savitri, Mary J. De Silva, Tran Duc Thach, Trudy Harpham, Pham Thi Lan, Nguyen Thu Huong, Bill Tod and Tran Tuan",Maternal Social Capital and Child Health in Vietnam,Young Lives Working Paper 30,Children's experiences,Health and nutrition
WP,Jun 2006,"De Silva, Mary, Cathy Garlick, Trudy Harpham and Nicola Jones",Maternal Social Capital and Child Well-being in Comparative Perspective,Young Lives Working Paper 31,Children's experiences,Health and nutrition
WP,Sep 2006,"Piush, Antony, S. Galab, Nicola Jones, Anne McCoy, D. Sree Rama Raju, P. Prudhvikar Reddy and Ian Wilson",Exploring Linkages between Maternal Social Capital and Children’s Nutritional Status in Andhra Pradesh,Young Lives Working Paper 32,Children's experiences,Health and nutrition
J,Oct 2006,"Howe, L.D. , S.R.A. Huttly and T. Abramsky",Risk Factors for Injuries in Young Children in Four Developing Countries: The Young Lives Study,Tropical Medicine and International Health 11(10): 1557–1566,Children's experiences,Health and nutrition
J,Oct 2006,"Harpham, Trudy, Mary J. De Silva and Tran Tuan",Maternal Social Capital and Child Health in Vietnam,Journal of Epidemiology and Community Health 60(10): 865-871,Children's experiences,Health and nutrition
J,Jan 2007,"De Silva, Mary J., Sharon R. Huttly, Trudy Harpham, Michael G. Kenward",Social Capital and Mental Health: A Comparative Analysis of Four Low-income Countries,Social Science and Medicine 64(1): 5–20,Children's experiences,Health and nutrition
J,Jan 2007,"Cueto, Santiago, Paul Glewwe, Sally Grantham-McGregor, Linda Richter, Linda Strupp and Yin Bun Cheung",Two Hundred and Forty-two Million Children Fail to Reach Their Developmental Potential in the First Five Years in Developing Countries,The Lancet 369.9555: 60-70,Children's experiences,Health and nutrition
J,Jan 2007,"Cueto, Santiago, Paul Glewwe, Sally Grantham-McGregor, Linda Richter, Barbara Strupp and Yin Bun Cheung",Child Development in Developing Countries 1: Developmental Potential in the First Five Years for Children in Developing Countries,The Lancet 369.9555: 60-70,Children's experiences,Health and nutrition
WP,Apr 2007,"Boyden, Jo and Elizabeth Cooper",Questioning the Power of Resilience: Are Children up to the Task of Disrupting the Transmission of Poverty?,Chronic Poverty Research Centre Working Paper 73,Children's experiences,Risk and resilience
J,Jun 2007,"De Silva, Mary J. and Trudy Harpham",Maternal Social Capital and Child Nutritional Status in Four Developing Countries,Health and Place 13: 341–355,Children's experiences,Health and nutrition
J,Nov 2007,"Moestue, Helen, Sharon Huttly, Lydia Sarella and S. Galab","""The Bigger, The Better"": Mothers’ Social Networks and Child Nutrition in Andhra Pradesh",Public Health Nutrition 10(11):1274-1282,Children's experiences,Health and nutrition
WP,Nov 2007,"Balarin, Maria and Santiago Cueto",The Quality of Parental Participation and Student Achievement in Peruvian Government Schools,Young Lives Working Paper 35,Children's experiences,School and education
J,Feb 2008,"Moestue, Helen and Sharon Huttly",Adult Education and Child Nutrition: The Role of Family and Community,Journal of Epidemiology and Community Health 62: 153-159,Children's experiences,Health and nutrition
J,Mar 2008,"Fenn, Bridget and Mary E. Penny",Using the New World Health Organization Growth Standards: Differences From 3 Countries,Journal of Paediatric Gastroenterology and Nutrition 46(3): 316-321,Children's experiences,Health and nutrition
SP,Apr 2008,"Kirchberger, Martina",Do Households’ Water and Sanitation Choices Really Matter for Child Health?,"Young Lives Student Paper (thesis for MSc in Economics for Development, University of Oxford)",Children's experiences,Health and nutrition
SP,May 2008,"Deustua Rossel, Jose",The Impact of Climatic Shocks on Child Nutrition in Peru,"Young Lives Student Paper (thesis for MSc in Economics for Development, University of Oxford)",Children's experiences,Health and nutrition; Shocks
J,Aug 2008,"De Silva, Mary and D.C. Fuhr",Physical Long-term Health Problems and Mental Co-morbidity: Evidence from Vietnam,Archives of Disease in Childhood 93(8): 686–689,Children's experiences,Health and nutrition
J,Sep 2008,"Komanduri, Anuradha and Uma Vennan",Perceptions of Well-being: Insights from a Group Exercise,Roshni: Alumni Journal of Social Work,Children's experiences,Children's views
SP,Sep 2008,"VanderKloet, Marya","Dual Burden of Malnutrition in Andhra Pradesh, India: Identification of Independent Predictors for Underweight and Overweight in Adolescents with Overweight Mothers","Young Lives Student Paper (thesis for MSc in Public Health Nutrition at the London School of Hygiene and Tropical Medicine, University of London)",Children's experiences,Health and nutrition
SP,Nov 2008,"Singh, Abhijeet",Do School Meals Work? Treatment Evaluation of the Midday Meal Scheme in India,"Young Lives Student Paper (thesis for MSc in Economics for Development, University of Oxford)",Dynamics; Children's experiences,Social protection; Health and nutrition
WP,Jan 2009,"Tafere, Yisak and Laura Camfield",Community Understandings of Children’s Transitions in Ethiopia: Possible Implications for Life Course Poverty,Young Lives Working Paper 41,Children's experiences,Children's views
WP,Jan 2009,"Camfield, Laura and Yisak Tafere",‘Children With a Good Life Have to Have School Bags’: Diverse Understandings of Well-being among Older Children in Three Ethiopian Communities,Young Lives Working Paper 37,Children's experiences,Children's views
WP,Feb 2009,"Cameron, Lita",Does ‘Improved’ Sanitation Make Children Healthier? Household Pit Latrines and Child Health in Rural Ethiopia,Young Lives Working Paper 42,Children's experiences,Health and nutrition
WP,Feb 2009,"Himaz, Rozana",The Impact of Parental Death on Schooling and Subjective Well-being: Evidence from Ethiopia using Longitudinal Data,Young Lives Working Paper 44,Children's experiences,Well-being
PB,Mar 2009,"Camfield, Laura, Rozana Himaz and Helen Murray",The Impact of Parental Death on Child Outcomes: Evidence from Ethiopia,Young Lives Policy Brief 7,Children's experiences,Family and peer relationships
TN,May 2009,"Ames, Patricia and Vanessa Rojas","Childhood, Transitions and Well-being in Peru: A Literature Review",Young Lives Technical Note 16,Children's experiences,Well-being
TN,Jun 2009,"Tafere, Yisak, Workneh Abebe and Asham Assazinew",Key Transitions and Well-being of Children in Ethiopia: Country Context Literature Review,Young Lives Technical Note 17,Children's experiences,Well-being
J,Jul 2009,"Himaz, Rozana",Persistent Stunting in Middle Childhood: The Case of Andhra Pradesh Using Longitudinal Data,IDS Bulletin 40(4): 30-38,Children's experiences,Health and nutrition
SP,Aug 2009,"Cameron, Lita",Healthcare Choices in the Context of Reform: Perspectives of Young Lives Caregivers in Vietnam,"Young Lives Student Paper (thesis for MSc in Global Health Science, University of Oxford)",Children's experiences,Health and nutrition
J,Sep 2009,"Boyden, Jo",Risk and Capability in the Context of Adversity: Children’s Contributions to Household Livelihoods in Ethiopia,"Children, Youth and Environments 19(2)",Children's experiences,Risk and resilience
J,Sep 2009,"Camfield, Laura and Yisak Tafere","'No, Living Well Does Not Nean Being Rich': Diverse Understandings of Well-being among 11- to 13-year-old Children in Three Ethiopian Communities",Journal of Children and Poverty 15(2): 119-38,Children's experiences,Children's views
J,Sep 2009,"Dercon, Stefan and Pramila Krishnan",Poverty and the Psychosocial Competencies of Children: Evidence from the Young Lives Sample in Four Developing Countries,"Children, Youth and Environments 19(2)",Children's experiences,Well-being
WP,Oct 2009,"Lopez Boo, Florencia","The Production Function of Cognitive Skills: Nutrition, Parental Inputs and Caste Test Gaps in India",Young Lives Working Paper 55,Children's experiences; Learning/time-use/transitions,Health and nutrition
WP,Oct 2009,"Sanchez, Alan",Early Nutrition and Cognitive Achievement in Pre-school Children in Peru,Young Lives Working Paper 57,Children's experiences,Health and nutrition
J,Dec 2009,"Komanduri, Anuradha, Uma Vennam and  K. Hymavathi",Voices of Children in Poverty: Promoting Their Right to Participation,"Journal of Juridical Studies (published by the Dept of Law, SPMVV)",Children's experiences,Children's views
TN,May 2010,"Ames, Patricia and Vanessa Rojas","Infancia, transiciones y bienestar en Perú: Una revisión bibliográfica",Spanish translation of Technical Note 16,Children's experiences,Transitions
WP,Jun 2010,"Tafere, Yisak",Changing Educational Aspirations of Children Living in Poverty in Ethiopia,Young Lives Working Paper 58,Children's experiences; Learning/time-use/transitions,Learning and outcomes
J,Jul 2010,"Camfield, Laura",'Stew Without Bread or Bread Without Stew’: Children’s Understandings of Poverty in Ethiopia,"Children & Society 24(4): Special Issue: Children, Poverty and Risk: Global Perspectives, pp: 271-81",Children's experiences,Children's perceptions
J,Jul 2010,"Crivello, Gina, Laura Camfield and Catherine Porter",Researching Children's Understandings of Poverty and Risk in Diverse Contexts,"Children & Society 24(4): Special Issue: Children, Poverty and Risk: Global Perspectives, pp: 255-60",Children's experiences,Children's perceptions
J,Jul 2010,"Troung, Huyen Chi",Understanding Vulnerability and Resilience in the Context of Poverty and Ethnicity in Vietnam,"Children & Society 24(4): Special Issue: Children, Poverty and Risk: Global Perspectives, pp: 315-25",Children's experiences,Risk and resilience
SP,Aug 2010,"Hazarika, Anupama",The Effect of Maternal Education and Maternal Mental Health on Child’s Growth,Young Lives Student Paper,Children's experiences,Nutrition
SP,Sep 2010,"Nguyen, Ngoc Danh","Determinants of Child Health in Vietnam: Individual, Household, Community Variables, and their Interaction",Young Lives Student Paper,Children's experiences,Health and nutrition
J,Oct 2010,"Petrou, Stavros and Emil Kupek",Poverty and Childhood Undernutrition in Developing Countries: A Multinational Cohort Study,Social Science & Medicine 71.7: 1366-1373,Children's experiences,Nutrition
J,Oct 2010,"Vargas, Silvana and Mary E. Penny",Measuring Food Insecurity and Hunger in Peru: A Qualitative and Quantitative Analysis of an Adapted Version of the USDA’s Food Insecurity and Hunger Module,Public Health Nutrition 13(10): 1488-97,Children's experiences,Nutrition
J,Nov 2010,"Crookston, B.T., M.E. Penny, S.C. Alder, T.T. Dickerson, R.M. Merrill, J.B. Stanford, C.A. Porucznik, and K.A. Dearden",Children Who Recover from Early Stunting and Children Who Are Not Stunted Demonstrate Similar Levels of Cognition,Journal of Nutrition 140.11: 1996-2001,Children's experiences; Nutrition,Nutrition
PP,Dec 2010,"Pells, Kirrily","Inequalities, Life Chances and Gender",Young Lives Round 3 Preliminary Findings,Children's experiences,Gender
WP,Dec 2010,"Molinas, Oswaldo, Ingo Outes and Alan Sanchez",Psychosocial Well-being and Cognitive Achievement in Peru,Young Lives Working Paper 65,Children's experiences; Learning/time-use/transitions,Psychological well-being; learning and outcomes
WP,Jan 2011,"Porter, Catherine and Ingo Outes",Risk and Early Child Development in Ethiopia,,Children's experiences,Risk and resilience
J,Jan 2011,"Crookston, Benjamin T., Kirk A. Dearden, Stephen C. Alder, Christina A. Porucznik, Joseph B. Stanford, Ray M. Merrill, Ty T. Dickerson, Mary E. Penny",Impact of Early and Concurrent Stunting on Cognition,Maternal and Child Nutrition (VOL??),Children's experiences,Nutrition
WP,Mar 2011,"Orkin, Kate",‘If God wills…next year I will send her back to school’: The Effects of Child and Parental Illness on School Participation in Rural Ethiopia,CREATE Pathways to Access Research Monograph 6-,Children's experiences; learning,Risk and resilience
WP,May 2011,"Barnett, Inka","Is the Dual Burden of Over- and Under-nutrition a Concern for Poor Households in Ethiopia, India, Peru and Vietnam?",Young Lives Working Paper 67,Children's experiences,Health and nutrition
WP,May 2011,"Crivello, Gina and Jo Boyden",Situating Risk in Young People's Social and Moral Relationships: Young Lives Research in Peru,Young Lives Working Paper 66,Children's experiences,Risk and resililence
WP,Jul 2011,Truong Huyen Chi,Negotiating Children's Ethnic Identity in the Highlands of Vietnam,Young Lives Working Paper 68,Children's experiences; cross-cutting,Children's perceptions
WP,Jul 2011,"Rojas Arangoitia, Vanessa",'I'd rather be hit with a stick…Grades are sacred': Students' Perceptions of Discipline and Authority in a Public High School in Peru,Young Lives Working Paper 70,Learning/time-use/transitions; children's experiences,School quality and access
WP,Jul 2011,Truong Huyen Chi,Eliminating Inter-Ethnic Inequalities? Assessing Impacts of Education Policies on Ethnic Minority Children in Vietnam,Young Lives Working Paper 69,Learning/time-use/transitions; children's experiences,Inequalities
PP,Sep 2011,"Pells, Kirrily",Poverty and Gender Inequalities Evidence from Young Lives,Young Lives Policy Paper 3,Children's experiences,Gender
PP,Sep 2011,"Pells, Kirrily","Poverty, Risk and Families' Responses Evidence from Young Lives",Young Lives Policy Paper 4,Children's experiences,Risk and resilience
WP,Oct 2011,"Dercon, Stefan and Abhijeet Singh",From Nutrition to Aspirations and Self-Efficacy: Gender Bias over Time among Children in Four Countries,Young Lives Working Paper 71,Children's experiences,Gender
WP,Oct 2011,"Dercon, Stefan and Alan Sanchez",Long-term Implications of Under-Nutrition on Psychosocial Competencies: Evidence from Four Developing Countries,Young Lives Working Paper 72,Children's experiences,Nutrition; Psychosocial well-being
PB,Nov 2011,"Pells, Kirrily","Poverty, Risk and Families' Responses Evidence from Young Lives",Young Lives Policy Brief 14,Children's experiences,Risk and resilience
WP,Nov 2011,"Nguyen, Ngoc","What Makes a Child Happy: The Link between Family Income, Social Networks and Child Well-being in Vietnam",Young Lives Working Paper 74,Children's experiences,Relationships and support
WP,May 2005,"Woldehanna , Tassew,  Nicola Jones and Bekele Tefera",Children’s Educational Completion Rates and Achievement: Implications for Ethiopia’s Second Poverty Reduction Strategy (2006-10),Young Lives Working Paper 18,Learning/time-use/transitions,School and education
WP,May 2005,"Woldehanna, Tassew, Alemu Mekonnen, Nicola Jones, Bekele Tefera, John Seager, Tekie Alemu, and Getachew Asgedom",Education Choices in Ethiopia: What Determines Whether Poor Households Send Children to School?,Young Lives Working Paper 15,Learning/time-use/transitions,School and education
WP,Jun 2005,"Woldehanna, Tassew and Nicola Jones",How Pro-Poor is Ethiopia’s Education Expansion? A Benefit Incident Analysis of Education since 1995/96,Young Lives Working Paper 23,Learning/time-use/transitions,Social protection
WP,Nov 2005,"Anthony, Piush, Anne McCoy, S. Galab, Helen Moestue, C. Ravi, and P. Prudhvikar Reddy",Child Learning in Andhra Pradesh: The Interplay between School and Home,Young Lives Working Paper 27,Learning/time-use/transitions,School and education
WP,Dec 2005,"McCoy, Anne, Trudy Harpham, Sharon Huttly, Pham Thi Lan, Tran Duc Thach, Tran Thu Ha, and Tran Tuan",Extra Classes and Learning Outcomes of Eight-Year-Old Children in Vietnam,Young Lives Working Paper 29,Learning/time-use/transitions,School and education
J,Feb 2006,"Bartolini, Rosario, Mary De Silva, Trudy Harpham, Sharon Huttly, Mary Penny and Tran Tuan",Psychometric and Cognitive Validation of a Social Capital Measurement Tool in Peru and Vietnam,Social Science and Medicine 62(4): 941-953,Learning/time-use/transitions,School and education; Health and nutrition
PB,Nov 2006,"Jones, Nicola and Paola Pereznieto",Educational Choices in Ethiopia: What Determines Whether Poor Children Go To School?,Young Lives Policy Brief 2,Learning/time-use/transitions,School and education
J,Dec 2006,"Harpham, Trudy and Tran Thu Ha",Primary Education in Vietnam: Extra Classes and Outcome,International Education Journal 6(5): 626-634,Learning/time-use/transitions,School and education
PB,Nov 2007,"Jones, Nicola, Minna Lyytikainen, Nguyen Thi Thanh Thuy and Pham Thi Lan","Education For All in Vietnam: high enrolment, but problems of quality remain",Young Lives Policy Brief 4,Learning/time-use/transitions,School and education
J,May 2008,"Woldehanna, Tassew, Nicola Jones and Bekele Tefera",The Invisibility of Children's Paid and Unpaid Work: Implications for Ethiopia’s National Poverty Reduction Policy,Childhood 15(2): 177-201,Learning/time-use/transitions,Children's work
SP,Jun 2008,"Watson, Annabel",The Impact of Child Labour on the Educational Achievement of Children in Vietnam,"Young Lives Student Paper (thesis for MSc in Economics for Development, University of Oxford)",Learning/time-use/transitions,Children's work; School and education
J,Jan 2009,"Woldehanna, Tassew, Alemu Mekonnen and Nicola Jones",Education Choices in Ethiopia: What Determines Whether Poor Households Send Their Children to School?,Ethiopian Journal of Economics 17(1): 43-80,Learning/time-use/transitions,School and education
WP,Jan 2009,"Helmers, Christian and Manasa Patnam",The Formation and Evolution of Childhood Skill Acquisition: Evidence From India,Young Lives Working Paper 38,Learning/time-use/transitions,School and education
TN,Jan 2009,"Cueto, Santiago, Juan Leon, Gabriela Guerrero and Ismael Muñoz",Psychometric Characteristics of Cognitive Development and Achievement Instruments in Round 2 of Young Lives,Young Lives Technical Note 15,Learning/time-use/transitions,School and education
TN,Jan 2009,"Vogler, Pia, Virginia Morrow and Martin Woodhead",Conceptualising and Measuring Children's Time Use: A Technical Review for Young Lives,Young Lives Technical Note 14,Learning/time-use/transitions,Children's time-use
WP,Feb 2009,"Himaz, Rozana",Is There a Boy Bias in Household Education Expenditure? The case of Andhra Pradesh in India based on Young Lives data,Young Lives Working Paper 46,Learning/time-use/transitions,School and education
WP,Feb 2009,Le Thuc Duc,The Effect of Early Age Stunting on Cognitive Achievement among Children in Vietnam,Young Lives Working Paper 45,Learning/time-use/transitions,Early education
WP,Feb 2009,"Crivello, Gina","‘Becoming Somebody': Youth Transitions Through Education and Migration – Evidence from Young Lives, Peru",Young Lives Working Paper 43,Learning/time-use/transitions,Transitions; Psychosocial well-being
